year,make,model,n_rows,our_union,tried,other_years_matched
2020,jaguar,xj,1,245/45R18 275/35R20 275/30R21,XJ8 | XJ | XJR | XJ6 | XJ 6 | XJ 8,true
2021,jaguar,xj,1,245/45R18 275/35R20 275/30R21,XJ8 | XJ | XJR | XJ6 | XJ 6 | XJ 8,true
2022,jaguar,xj,1,245/45R18 275/35R20 275/30R21,XJ8 | XJ | XJR | XJ6 | XJ 6 | XJ 8,true
1992,jaguar,xj220,1,255/45R17,Xj220,false
1993,jaguar,xj220,1,255/45R17,Xj220,false
1994,jaguar,xj220,1,255/45R17,Xj220,false
2002,jeep,cherokee,1,215/75R16 225/75R16 235/65R17,Cherokee,true
2003,jeep,cherokee,1,215/75R16 225/75R16 235/65R17,Cherokee,true
2004,jeep,cherokee,1,215/75R16 225/75R16 235/65R17,Cherokee,true
2005,jeep,cherokee,1,215/75R16 225/75R16 235/65R17,Cherokee,true
2006,jeep,cherokee,1,215/75R16 225/75R16 235/65R17,Cherokee,true
2007,jeep,cherokee,1,215/75R16 225/75R16 235/65R17,Cherokee,true
2008,jeep,cherokee,1,225/75R16 235/65R17,Cherokee,true
2009,jeep,cherokee,1,225/75R16 235/65R17,Cherokee,true
2010,jeep,cherokee,1,225/75R16 235/65R17 235/60R18 235/70R16 245/50R20,Cherokee,true
2011,jeep,cherokee,1,225/75R16 235/65R17 235/60R18 235/70R16 245/50R20,Cherokee,true
2012,jeep,cherokee,1,225/75R16 235/65R17 235/60R18 235/70R16 245/50R20,Cherokee,true
2013,jeep,cherokee,1,235/65R17 235/60R18 235/70R16 245/50R20,Cherokee | Cherokee Classic/Limited | Cherokee 3.7i,true
2019,jeep,gladiator,1,245/75R17 255/70R18 285/70R17 255/75R17 275/55R20,Gladiator | Gladiator 3.6 Pentastar | Gladiator 3.6,true
2024,jeep,renegade,5,215/65R16 215/60R17 225/55R17 225/55R18 235/45R19 215/65R17,Renegade | Renegade Latitude | Renegade Limited | Renegade Sport | Renegade Trailhawk,true
2025,jeep,renegade,5,215/65R17 215/65R16 215/60R17 225/55R18 235/45R19 225/55R17,Renegade | Renegade Latitude | Renegade Limited | Renegade Sport | Renegade Trailhawk,true
2026,jeep,renegade,5,215/65R16 215/60R17 225/55R17 225/55R18 235/45R19 215/65R17,Renegade | Renegade Latitude | Renegade Limited | Renegade Sport | Renegade Trailhawk,true
1996,jeep,wrangler,1,205/75R15 215/75R15 225/75R15,Wrangler | Wranglerunlimited | Wrangler 4 XE,true
2025,kia,forte,5,205/55R16 215/45R17 225/40R18,Forte | Forte FE | Forte GT | Forte GT-Line | Forte LXS,true
2026,kia,forte,5,225/40R18 225/45R17 195/65R15 205/55R16 215/45R17,Forte | Forte FE | Forte GT | Forte GT-Line | Forte LXS,true
2013,kia,sedona,2,225/70R16 235/60R17,Sedona | Carnival | Sedona EX/SX | Sedona LX,true
2002,kia,sorento,1,245/70R16,Sorento,true
2010,kia,sorento,7,235/65R17 235/60R18,Sorento | Sorento EX | Sorento LX | Sorento S | Sorento SX | Sorento SX Prestige | Sorento X-Line,true
2026,kia,soul,6,205/60R16 215/55R17 235/45R18,Soul | Soul EX | Soul GT-Line | Soul LX | Soul S | Soul Turbo,true
2003,kia,sportage,1,205/75R15,Sportage,true
2004,kia,sportage,1,205/75R15,Sportage,true
2017,kia,stinger,1,225/45R18 225/40R19 255/35R19,Stinger,true
2024,kia,stinger,1,225/45R18 225/40R19 255/35R19,Stinger,true
2026,kia,telluride,8,245/50R20 235/65R18 245/60R18,Telluride | Telluride EX | Telluride LX | Telluride S | Telluride SX | Telluride SX Prestige | Telluride X-Line | Telluride X-Pro,true
2014,lamborghini,huracan,1,245/35R19 305/30R19 245/30R20 305/30R20 235/40R19 285/40R19,Huracan | Huracan Huracan (All Variants) | Huracan Huracan,true
2000,land rover,defender,1,255/65R18,Defender 110 | Defender 90 | Defender 130 | Defender,true
2001,land rover,defender,1,255/65R18,Defender 110 | Defender 90 | Defender 130 | Defender,true
2002,land rover,defender,1,255/65R18,Defender 110 | Defender 90 | Defender 130 | Defender,true
2003,land rover,defender,1,255/65R18,Defender 110 | Defender 90 | Defender 130 | Defender,true
2004,land rover,defender,1,255/65R18,Defender 110 | Defender 90 | Defender 130 | Defender,true
2005,land rover,defender,1,255/65R18 255/60R20,Defender 110 | Defender 90 | Defender 130 | Defender,true
2006,land rover,defender,1,255/65R18 255/60R20,Defender 110 | Defender 90 | Defender 130 | Defender,true
2007,land rover,defender,1,255/65R18 255/60R20,Defender 110 | Defender 90 | Defender 130 | Defender,true
2008,land rover,defender,1,255/65R18 255/60R20,Defender 110 | Defender 90 | Defender 130 | Defender,true
2009,land rover,defender,1,255/65R18 255/60R20,Defender 110 | Defender 90 | Defender 130 | Defender,true
2010,land rover,defender,1,255/65R18 255/60R20 275/50R22,Defender 110 | Defender 90 | Defender 130 | Defender,true
2011,land rover,defender,1,255/65R18 255/60R20 275/50R22,Defender 110 | Defender 90 | Defender 130 | Defender,true
2012,land rover,defender,1,255/65R18 255/60R20 275/50R22,Defender 110 | Defender 90 | Defender 130 | Defender,true
2013,land rover,defender,1,255/65R18 255/60R20 275/50R22,Defender 110 | Defender 90 | Defender 130 | Defender,true
2014,land rover,defender,1,255/65R18 255/60R20 275/50R22,Defender 110 | Defender 90 | Defender 130 | Defender,true
2015,land rover,defender,1,255/65R18 255/60R20 275/50R22,Defender 110 | Defender 90 | Defender 130 | Defender,true
2016,land rover,defender,1,255/65R18 255/60R20 275/50R22,Defender 110 | Defender 90 | Defender 130 | Defender,true
2019,land rover,defender,1,255/65R18 255/60R20 275/50R22,Defender 110 | Defender 90 | Defender 130 | Defender,true
1993,land rover,defender-90,1,235/85R16 255/85R16,Defender 90 | Defender,true
2014,land rover,discovery-sport,1,235/60R18 235/55R19 245/45R20,Discovery Sport,true
2011,land rover,range-rover-evoque,1,235/60R18 245/45R20 255/40R21,Range Rover Evoque | Evoque,true
2005,land rover,range-rover-sport,1,255/55R19,Range Rover Sport,true
2017,land rover,range-rover-velar,2,255/55R19 275/45R20 275/40R21 285/35R22 255/50R20,Range Rover Velar | Velar,true
2026,lexus,es,5,215/55R17 235/45R18 235/40R19,ES350 | ES300h | ES250 | ES300 | ES330 | ES 250 | ES 300h | ES 350,true
2012,lexus,gs,4,225/50R17 235/45R18 235/40R19 265/35R19 245/40R18 255/35R19,GS350 | GS300 | GS F | GS450h | GS200t | GS 300 | GS 350 | GS 350 / (all trims) | GS 350 Sport Package,true
2002,lexus,gx,1,265/60R18 265/55R19,GX460 | GX550 | GX470,true
1999,lexus,is,5,205/55R16 215/45R17,IS350 | IS300 | IS250 | IS500 | IS F | IS200t | IS 300 | IS 350 | IS 500,true
2000,lexus,is,5,205/55R16 215/45R17,IS350 | IS300 | IS250 | IS500 | IS F | IS200t | IS 300 | IS 350 | IS 500,true
2017,lexus,lc,1,245/45R20 275/40R20 245/40R21 275/35R21,LC500 | LC500h | LC 500,true
2026,lexus,ls,4,245/50R19 245/45R20,LS460 | LS400 | LS500 | LS500h | LS430 | LS 500 | LS 500h,true
2012,lexus,lx,5,285/60R18 285/50R20 285/45R21 285/55R19 285/45R22 275/50R21,LX570 | LX600 | LX470 | LX450 | LX700h | LX 570,true
2019,lincoln,corsair,1,225/60R18 225/55R19 245/45R20 245/50R19,Corsair | Corsair 2.0 Turbo | Corsair 2.0,true
2014,lincoln,mkc,1,235/55R18 235/50R19,MKC,true
2020,lincoln,mkc,1,235/55R18 235/50R19,MKC,true
2009,lincoln,mkt,1,235/60R18 255/45R20,MKT,true
2006,lincoln,mkx,1,235/60R18 255/50R20 265/40R21,MKX,true
2006,lincoln,mkz,5,235/50R17,MKZ | MKZ Black Label | MKZ Black | MKZ Premiere | MKZ Reserve | MKZ Select,true
2012,lotus,elise,1,175/55R16 195/50R16 225/45R17,Elise | Elise Series 3 | Elise Series,true
2013,lotus,elise,1,175/55R16 195/50R16 225/45R17,Elise | Elise Series 3 | Elise Series,true
2014,lotus,elise,1,175/55R16 195/50R16 225/45R17,Elise | Elise Series 3 | Elise Series,true
2015,lotus,elise,1,175/55R16 195/50R16 225/45R17,Elise | Elise Series 3 | Elise Series,true
2016,lotus,elise,1,175/55R16 195/50R16 225/45R17,Elise | Elise Series 3 | Elise Series,true
2017,lotus,elise,1,175/55R16 195/50R16 225/45R17,Elise | Elise Series 3 | Elise Series,true
2019,lotus,elise,1,175/55R16 195/50R16 225/45R17,Elise | Elise Series 3 | Elise Series,true
2020,lotus,elise,1,175/55R16 195/50R16 225/45R17,Elise | Elise Series 3 | Elise Series,true
2021,lotus,elise,1,175/55R16 195/50R16 225/45R17,Elise | Elise Series 3 | Elise Series,true
2022,lotus,emira,1,245/35R20 295/30R20,Emira | Emira Emira,true
2009,lotus,evora,1,225/40R18 285/30R20,Evora | Evora GT | Evora 400 | Evoragt | Evora GT Evora/Evora S/Evora 400/Evora GT | Evora GT Evora/Evora,true
2015,lotus,evora,1,225/40R18 285/30R20,Evora | Evora GT | Evora 400 | Evoragt | Evora GT Evora/Evora S/Evora 400/Evora GT | Evora GT Evora/Evora,true
2016,lotus,evora,1,225/40R18 285/30R20,Evora | Evora GT | Evora 400 | Evoragt | Evora GT Evora/Evora S/Evora 400/Evora GT | Evora GT Evora/Evora,true
2019,lotus,evora,1,225/40R18 285/30R20,Evora | Evora GT | Evora 400 | Evoragt | Evora GT Evora/Evora S/Evora 400/Evora GT | Evora GT Evora/Evora,true
2024,lucid,gravity,2,265/45R21 275/40R22,Gravity | Gravity Grand Touring | Gravity Grand | Gravity Touring,false
2013,maserati,ghibli,1,245/45R18 275/45R18 245/35R21 285/30R21,Ghibli | Ghibli M157 (3rd Gen) | Ghibli M157,true
2007,maserati,granturismo,1,245/40R19 285/35R19 245/35R20 295/30R20,Granturismo | Granturismoconvertible | Granturismo M145 (1st Gen Modern) | Granturismo M145,true
2020,maserati,granturismo,3,255/35R20 295/30R20,Granturismo | Granturismoconvertible | Granturismo MC | Granturismo Sport,true
2021,maserati,granturismo,3,255/35R20 295/30R20,Granturismo | Granturismoconvertible | Granturismo MC | Granturismo Sport,true
2022,maserati,granturismo,3,255/35R20 295/30R20,Granturismo | Granturismoconvertible | Granturismo MC | Granturismo Sport,true
2023,maserati,granturismo,1,255/35R20 295/30R20 295/30R21,Granturismo | Granturismoconvertible | Granturismo M175 (2nd Gen) | Granturismo M175,true
2016,maserati,levante,1,265/50R19 295/45R19 265/45R20 295/40R20 265/40R21 295/35R21 265/35R22 295/30R22,Levante | Levante M161,true
2003,mazda,3,1,195/65R15 205/55R16,3 | Mazda 3,true
1998,mazda,b2300,1,225/70R15,B2300 | Bseries | B 2300 Pickup,true
1999,mazda,b2300,1,225/70R15,B2300 | Bseries | B 2300 Pickup,true
1997,mazda,b3000,1,195/70R14 215/70R14 225/70R15,B3000 | Bseries,true
2019,mazda,cx-30,1,215/65R16 215/55R18,CX-30 | CX 30 | CX30,true
2011,mazda,cx-5,1,225/65R17 225/55R19,CX-5 | CX 5 | CX5,true
2012,mazda,cx-5,1,225/65R17 225/55R19,CX-5 | CX 5 | CX5,true
2022,mazda,cx-50,1,225/65R17 225/55R19,CX-50 | CX 50 | CX50,true
2006,mazda,cx-9,1,245/60R18 255/50R20,CX-9 | CX 9 | CX9,true
2024,mazda,cx-9,5,255/60R18 255/50R20,CX-9 | CX 9 | CX9 | CX-9 Carbon Edition | CX-9 Carbon | CX-9 Grand Touring | CX-9 Grand | CX-9 Signature | CX-9 Sport | CX-9 Touring,true
2025,mazda,cx-9,5,255/60R18 255/50R20,CX-9 | CX 9 | CX9 | CX-9 Carbon Edition | CX-9 Carbon | CX-9 Grand Touring | CX-9 Grand | CX-9 Signature | CX-9 Sport | CX-9 Touring,true
2026,mazda,cx-9,5,255/60R18 255/50R20,CX-9 | CX 9 | CX9 | CX-9 Carbon Edition | CX-9 Carbon | CX-9 Grand Touring | CX-9 Grand | CX-9 Signature | CX-9 Sport | CX-9 Touring,true
2023,mazda,cx-90,1,255/55R19 275/40R21,CX-90 | CX 90 | CX90,true
2003,mazda,mazda3,1,195/65R15 205/55R16,3 | Mazda3,true
2011,mazda,mazda5,3,205/55R16 205/50R17,5 | Mazda5 | 5 Grand Touring | 5 Grand | 5 Sport | 5 Touring,true
1998,mazda,miata,1,185/60R14 195/50R15,Miata | MX-5 Miata | MX 5 | MX 5 Miata,true
2020,mazda,mx-30,1,215/55R18,MX-30 | MX 30 | MX30,false
2021,mazda,mx-30,1,215/55R18,MX-30 | MX 30 | MX30,false
2022,mazda,mx-30,1,215/55R18,MX-30 | MX 30 | MX30,false
2023,mazda,mx-30,1,215/55R18,MX-30 | MX 30 | MX30,false
2024,mazda,mx-30,1,215/55R18,MX-30 | MX 30 | MX30,false
2025,mazda,mx-30,1,215/55R18,MX-30 | MX 30 | MX30,false
1992,mazda,rx-7,1,205/60R15 205/55R16,RX-7 | RX 7 | RX7,true
2015,mclaren,570s,1,225/35R19 285/35R20,570S | 570 | 570S 570S/570GT/570S Spider | 570S 570S/570GT/570S,true
2021,mclaren,570s,1,225/35R19 285/35R20,570S | 570 | 570S 570S/570GT/570S Spider | 570S 570S/570GT/570S,true
2017,mclaren,720s,1,245/35R19 305/30R20,720S | 720 | 720S 720S Coupe/Spider | 720S 720S /Spider | 720S 720S,true
2022,mclaren,artura,1,235/35R19 295/35R20,Artura | Artura Artura/Artura Spider | Artura Artura/Artura,true
2019,mclaren,gt,1,225/35R20 295/30R21,GT | GT GT,true
2024,mclaren,gt,1,225/35R20 295/30R21,GT | GT GT,true
2025,mclaren,gt,1,225/35R20 295/30R21,GT | GT GT,true
2026,mclaren,gt,1,225/35R20 295/30R21,GT | GT GT,true
2013,mercedes,a-class-amg,1,225/45R18 235/40R19,A35 AMG,true
2014,mercedes,a-class-amg,1,225/45R18 235/40R19,A35 AMG,true
2015,mercedes,a-class-amg,1,225/45R18 235/40R19,A35 AMG,true
2016,mercedes,a-class-amg,1,225/45R18 235/40R19,A35 AMG,true
2017,mercedes,a-class-amg,1,225/45R18 235/40R19,A35 AMG,true
2019,mercedes,a-class-amg,2,225/45R18 235/40R19 235/45R18,A35 AMG,true
2022,mercedes,a-class-amg,1,225/45R18 235/40R19,A35 AMG,true
2023,mercedes,a-class-amg,1,225/45R18 235/40R19,,true
2024,mercedes,a-class-amg,1,225/45R18 235/40R19,,true
2025,mercedes,a-class-amg,1,225/45R18 235/40R19,,true
2026,mercedes,a-class-amg,1,225/45R18 235/40R19,,true
2014,mercedes,amg-gt,1,265/35R19 295/30R20 325/30R21,AMG GT 53 | AMG GT | AMG GT 63 | AMG GT 43 | AMG GT 63 S | AMG GT S | AMG GT 55 | AMG GT C | AMG GT R | Amggts | Amggtc,true
2015,mercedes,amg-gt,7,255/35R19 295/30R20 265/35R19 305/30R20,AMG GT 53 | AMG GT | AMG GT 63 | AMG GT 43 | AMG GT 63 S | AMG GT 55 | AMG GT C | AMG GT S | AMG GT R | Amggts | Amggtc | AMG GT AMG GT | AMG GT AMG | AMG GT AMG GT Black Series | AMG GT AMG GT C | AMG GT AMG GT R | AMG GT AMG GT R Pro | AMG GT AMG GT S | AMG GT Black Series | AMG GT R Pro,true
2007,mercedes,cl-class-amg,1,255/40R19 275/35R20 275/30R21,CL63 AMG | CL65 AMG,true
2013,mercedes,cla-class,1,205/55R16 225/45R18 235/40R19,CLA250 | CLA45 AMG | CLA35 AMG,true
2013,mercedes,cla-class-amg,1,225/45R18 235/40R19 255/30R20,CLA45 AMG | CLA35 AMG,true
2004,mercedes,cls-class,1,245/40R18 255/35R19 275/30R20,CLS550 | CLS63 AMG | CLS450 | CLS63 AMG S | CLS53 AMG | CLS400 | CLS500 | CLS55 AMG,true
2005,mercedes,cls-class,1,245/40R18 255/35R19 275/30R20,CLS550 | CLS63 AMG | CLS450 | CLS63 AMG S | CLS53 AMG | CLS400,true
2024,mercedes,cls-class,1,245/40R18 255/35R19 275/30R20,,true
2004,mercedes,cls-class-amg,1,255/35R19,CLS63 AMG | CLS63 AMG S | CLS53 AMG | CLS55 AMG,true
2005,mercedes,cls-class-amg,1,255/35R19 275/30R20 285/30R21,CLS63 AMG | CLS63 AMG S | CLS53 AMG | CLS55 AMG,true
2022,mercedes,cls-class-amg,1,255/35R19 275/30R20 285/30R21,CLS53 AMG,true
2023,mercedes,cls-class-amg,1,255/35R19 275/30R20 285/30R21,CLS53 AMG,true
2024,mercedes,cls-class-amg,1,255/35R19 275/30R20 285/30R21,,true
1990,mercedes,e-class,1,195/65R15 205/65R15 205/55R16 225/55R16,E350 | E320 | E550 | E63 AMG | E450 | E55 AMG | E53 AMG | E63 AMG S | E300 | E400 | E430 | E500 | E420 | E250,true
1991,mercedes,e-class,1,195/65R15 205/65R15 205/55R16 225/55R16,E350 | E320 | E550 | E63 AMG | E450 | E55 AMG | E53 AMG | E63 AMG S | E300 | E400 | E430 | E500 | E420 | E250,true
1992,mercedes,e-class,1,195/65R15 205/65R15 205/55R16 225/55R16,E350 | E320 | E550 | E63 AMG | E450 | E55 AMG | E53 AMG | E63 AMG S | E300 | E400 | E430 | E500 | E420 | E250,true
1993,mercedes,e-class,1,195/65R15 205/65R15 205/55R16 225/55R16,E350 | E320 | E550 | E63 AMG | E450 | E55 AMG | E53 AMG | E63 AMG S | E300 | E400 | E430 | E500 | E250 | E420,true
2017,mercedes,e-class-amg,1,245/40R18 255/35R19 265/35R19 275/30R20,E53 AMG | E63 AMG S | E63 AMG,true
2024,mercedes,e-class-amg,1,245/40R18 255/35R19 265/35R19 275/30R20,E53 AMG | E63 AMG | E63 AMG S,true
2021,mercedes,eqa,1,215/60R18 235/55R18 235/50R19,EQA,false
2022,mercedes,eqa,1,215/60R18 235/55R18 235/50R19,EQA,false
2023,mercedes,eqa,1,215/60R18 235/55R18 235/50R19,EQA,false
2024,mercedes,eqa,1,215/60R18 235/55R18 235/50R19,EQA,false
2025,mercedes,eqa,1,215/60R18 235/55R18 235/50R19,EQA,false
2026,mercedes,eqa,1,215/60R18 235/55R18 235/50R19,EQA,false
2021,mercedes,eqb,1,235/55R18 235/50R19 255/45R19,EQB,false
2022,mercedes,eqb,1,235/55R18 235/50R19 255/45R19,EQB,false
2023,mercedes,eqb,1,235/55R18 235/50R19 255/45R19,EQB,false
2024,mercedes,eqb,1,235/55R18 235/50R19 255/45R19,EQB,false
2025,mercedes,eqb,1,235/55R18 235/50R19 255/45R19,EQB,false
2026,mercedes,eqb,1,235/55R18 235/50R19 255/45R19,EQB,false
2022,mercedes,eqe,1,255/45R19 275/40R20 285/35R21,EQE 350+ | EQE 350 | EQE 500 | EQE 350+ SUV | EQE 500 SUV | Eqesuv | Eqesedan,true
2026,mercedes,eqe,1,255/45R19 275/40R20 285/35R21,EQE 350+ | EQE 350 | EQE 500 | EQE 350+ SUV | EQE 500 SUV | Eqesuv | Eqesedan,true
2021,mercedes,eqs,1,265/40R21 285/35R22,EQS 450+ | EQS 580 | EQS 450 | EQS 450+ SUV | EQS 580 SUV | EQS450+ | Eqssuv | Eqssedan,true
2000,mercedes,g-class,1,265/60R18 275/55R19,G550 | G63 AMG | G55 AMG | G500 | G65 AMG,true
2001,mercedes,g-class,1,265/60R18 275/55R19,G550 | G63 AMG | G55 AMG | G500 | G65 AMG,true
2000,mercedes,g-class-amg,1,275/50R20,G63 AMG | G55 AMG | G65 AMG,true
2001,mercedes,g-class-amg,1,275/50R20,G63 AMG | G55 AMG | G65 AMG,true
2002,mercedes,g-class-amg,1,275/50R20,G63 AMG | G55 AMG | G65 AMG,true
2012,mercedes,g-class-amg,1,275/50R20 295/40R21 295/40R22,G63 AMG | G65 AMG,true
2013,mercedes,gla-class,1,215/60R17 235/50R18 235/45R19,GLA250 | GLA45 AMG | GLA35 AMG,true
2014,mercedes,gla-class,1,215/60R17 235/50R18 235/45R19,GLA250 | GLA45 AMG | GLA35 AMG,true
2014,mercedes,gla-class-amg,1,235/50R18 255/40R20,GLA45 AMG | GLA35 AMG,true
2020,mercedes,gla-class-amg,1,235/50R18 255/40R20,GLA35 AMG | GLA45 AMG,true
2019,mercedes,glb-class,1,235/55R18 235/50R19,GLB250 | GLB35 AMG,true
2008,mercedes,glk-class,1,235/60R17 235/50R19,GLK350 | GLK250,true
2009,mercedes,glk-class,1,235/60R17 235/50R19,GLK350 | GLK250,true
2004,mercedes,m-class-amg,1,265/45R20,ML63 AMG,true
2005,mercedes,m-class-amg,1,265/45R20,ML63 AMG,true
2006,mercedes,m-class-amg,1,265/45R20,ML63 AMG,true
1992,mercedes,s-class,3,225/55R16 225/60R16 235/60R16 235/55R17,S600 | S500 | S63 AMG | S65 AMG | S550 | S430 | Maybach S580 | S580 | S320 | S420 | S55 AMG | S63 AMG E Performance | S350 | S400 | Maybach S560 | Maybach S650 | Maybach S600 | S 320 | S 420,true
1993,mercedes,s-class,3,225/60R16 235/60R16 235/55R17 225/55R16,S600 | S500 | S63 AMG | S65 AMG | S550 | S430 | Maybach S580 | S580 | S320 | S420 | S55 AMG | S63 AMG E Performance | S350 | S400 | Maybach S560 | Maybach S650 | Maybach S600 | S 320 | S 420,true
2000,mercedes,s-class-amg,1,255/45R18,S63 AMG | S65 AMG | S55 AMG,true
2023,mercedes,s-class-amg,1,255/45R18 275/35R20 255/35R21 275/30R21,S63 AMG,true
2024,mercedes,s-class-amg,1,255/45R18 275/35R20 255/35R21 275/30R21,S63 AMG,true
2025,mercedes,s-class-amg,1,255/45R18 275/35R20 255/35R21 275/30R21,S63 AMG,true
2010,mercedes,sl-class,1,255/40R18 275/35R19 285/30R20,SL550 | SL63 AMG | SL65 AMG | SL450 | SL400 | SL600,true
2001,mercedes,sl-class-amg,1,255/40R18 275/35R19 285/30R20 295/30R20,SL63 AMG | SL65 AMG | SL55 AMG | SL43 AMG,true
2002,mercedes,sl-class-amg,1,255/40R18 275/35R19 285/30R20 295/30R20,SL63 AMG | SL65 AMG | SL55 AMG | SL43 AMG,true
2010,mercedes,sl-class-amg,1,255/40R18 275/35R19 285/30R20 295/30R20,SL63 AMG | SL65 AMG | SL55 AMG | SL43 AMG,true
2016,mercedes,slc-class,1,225/45R17 245/40R18 255/35R18,SLC300 | SLC43 AMG,true
2000,mercedes,slk-class-amg,1,225/40R18 245/35R18 255/30R19,SLK55 AMG | SLK32 AMG,true
2001,mercedes,slk-class-amg,1,225/40R18 245/35R18 255/30R19,SLK55 AMG | SLK32 AMG,true
2011,mercedes,slk-class-amg,1,225/40R18 245/35R18 255/30R19,SLK55 AMG,true
2022,mercedes-benz,cls-class-amg,1,255/35R19 285/30R19,CLS53 AMG,true
2023,mercedes-benz,cls-class-amg,1,255/35R19 285/30R19,CLS53 AMG,true
1990,mercedes-benz,e-class,1,195/65R15 205/60R15 205/55R16,E350 | E320 | E550 | E63 AMG | E450 | E53 AMG | E63 AMG S | E55 AMG | E500 | E400 | E300 | E250 | E430 | E420,true
1991,mercedes-benz,e-class,1,195/65R15 205/60R15 205/55R16,E350 | E320 | E550 | E63 AMG | E450 | E53 AMG | E63 AMG S | E55 AMG | E500 | E400 | E300 | E250 | E430 | E420,true
1992,mercedes-benz,e-class,1,195/65R15 205/60R15 205/55R16,E350 | E320 | E550 | E63 AMG | E450 | E53 AMG | E63 AMG S | E55 AMG | E500 | E400 | E300 | E250 | E430 | E420,true
1993,mercedes-benz,e-class,1,195/65R15 205/60R15 205/55R16,E350 | E320 | E550 | E63 AMG | E450 | E53 AMG | E63 AMG S | E55 AMG | E500 | E400 | E300 | E250 | E430 | E420,true
2017,mercedes-benz,e-class-amg,1,265/35R19 295/30R19,E53 AMG | E63 AMG S | E63 AMG,true
2024,mercedes-benz,e-class-amg,1,265/35R19 295/30R19,E53 AMG | E63 AMG | E63 AMG S,true
2022,mercedes-benz,eqb,1,235/55R18,EQB,false
2023,mercedes-benz,eqb,1,235/55R18,EQB,false
2024,mercedes-benz,eqb,1,235/55R18,EQB,false
2025,mercedes-benz,eqb,1,235/55R18,EQB,false
2026,mercedes-benz,eqb,1,235/55R18,EQB,false
1990,mercedes-benz,g-class,1,265/70R16,G550 | G63 AMG | G65 AMG | G55 AMG | G500,true
1991,mercedes-benz,g-class,1,265/70R16,G550 | G63 AMG | G65 AMG | G55 AMG | G500,true
1992,mercedes-benz,g-class,1,265/70R16,G550 | G63 AMG | G65 AMG | G55 AMG | G500,true
1993,mercedes-benz,g-class,1,265/70R16,G550 | G63 AMG | G65 AMG | G55 AMG | G500,true
1994,mercedes-benz,g-class,1,265/70R16,G550 | G63 AMG | G65 AMG | G55 AMG | G500,true
1995,mercedes-benz,g-class,1,265/70R16 275/55R18,G550 | G63 AMG | G65 AMG | G55 AMG | G500,true
1996,mercedes-benz,g-class,1,265/70R16 275/55R18,G550 | G63 AMG | G65 AMG | G55 AMG | G500,true
1997,mercedes-benz,g-class,1,265/70R16 275/55R18,G550 | G63 AMG | G65 AMG | G55 AMG | G500,true
1998,mercedes-benz,g-class,1,265/70R16 275/55R18,G550 | G63 AMG | G65 AMG | G55 AMG | G500,true
1999,mercedes-benz,g-class,1,265/70R16 275/55R18,G550 | G63 AMG | G65 AMG | G55 AMG | G500,true
2002,mercedes-benz,g-class-amg,1,275/50R20,G63 AMG | G55 AMG | G65 AMG,true
2012,mercedes-benz,g-class-amg,1,275/50R20,G63 AMG | G65 AMG,true
2015,mercedes-benz,gle,5,275/55R19,GLE400 | GLE | Gleclass | Glecoupe | GLE350 | GLE63 AMG S | GLE580 | GLE53 AMG | GLE450 | GLE63 AMG | GLE43 AMG | GLE GLE 350 | GLE GLE | GLE GLE 450 | GLE GLE 53 AMG | GLE GLE 63 AMG | GLE 350 | GLE 450 | AMG GLE53 | AMG GLE63,true
2004,mercedes-benz,m-class-amg,1,295/35R21,ML63 AMG,true
2005,mercedes-benz,m-class-amg,1,295/35R21,ML63 AMG,true
2006,mercedes-benz,m-class-amg,1,295/35R21,ML63 AMG,true
1992,mercedes-benz,s-class,1,225/60R16 235/60R16 235/55R17,S600 | S500 | S63 AMG | S65 AMG | S550 | S580 | S450 | S560 | S430 | S55 AMG | S320 | S420 | Maybach S580 | S350 | S400 | Maybach S560 | Maybach S650 | Maybach S600,true
1993,mercedes-benz,s-class,1,225/60R16 235/60R16 235/55R17,S600 | S500 | S63 AMG | S65 AMG | S550 | S580 | S450 | S560 | S430 | S55 AMG | S320 | S420 | Maybach S580 | S350 | S400 | Maybach S560 | Maybach S650 | Maybach S600,true
2000,mercedes-benz,s-class-amg,1,255/40R20 285/35R20,S63 AMG | S65 AMG | S55 AMG,true
2023,mercedes-benz,s-class-amg,1,255/40R20 285/35R20,S63 AMG,true
2024,mercedes-benz,s-class-amg,1,255/40R20 285/35R20,S63 AMG,true
2025,mercedes-benz,s-class-amg,1,255/40R20 285/35R20,S63 AMG,true
2010,mercedes-benz,sl-class,1,255/35R19 285/30R19,SL63 AMG | SL550 | SL65 AMG | SL55 AMG | SL43 AMG | SL450 | SL400 | SL600,true
2010,mercedes-benz,sl-class-amg,1,255/35R19 285/30R19,SL63 AMG | SL65 AMG | SL55 AMG | SL43 AMG,true
2016,mercedes-benz,slc-class,1,225/45R17 245/40R17,SLC300 | SLC43 AMG,true
2011,mercedes-benz,slk-class-amg,1,235/40R18 255/35R18,SLK55 AMG,true
2008,mini,clubman,6,195/55R16 205/45R17 205/40R18,Cooper Clubman | Clubman | Cooperclubman | Cooper Clubman Classic | Cooper Clubman Iconic | Cooper Clubman John Cooper Works | Cooper Clubman John | Cooper Clubman S | Cooper Clubman Signature,true
2009,mini,clubman,6,195/55R16 205/45R17 205/40R18,Cooper Clubman | Clubman | Cooperclubman | Cooper Clubman Classic | Cooper Clubman Iconic | Cooper Clubman John Cooper Works | Cooper Clubman John | Cooper Clubman S | Cooper Clubman Signature,true
